Index,Value
1,158.4
2,151.2
3,118.8
4,122.4
5,122.4
6,118.8
7,100.8
8,118.8
9,133.2
10,144.0
11,154.8
12,169.2
13,190.8
14,198.0
15,219.6
16,241.2
17,262.8
18,316.8
19,298.8
20,295.2
21,316.8
22,291.6
23,306.0
24,280.8
25,280.8
26,252.0
27,241.2
28,230.4
29,241.2
30,216.0
31,208.8
32,212.4
33,205.2
34,205.2
35,219.6
36,226.8
37,248.4
38,241.2
39,244.8
40,248.4
41,259.2
42,262.8
43,262.8
44,244.8
45,226.8
46,219.6
47,208.8
48,183.6
49,176.4
50,151.2
51,126.0
52,129.6
53,111.6
54,122.4
55,118.8
56,115.2
57,122.4
58,140.4
59,147.6
60,158.4
61,180.0
62,194.4
63,208.8
64,255.6
65,226.8
66,273.6
67,295.2
68,298.8
69,313.2
70,270.0
71,262.8
72,273.6
73,255.6
74,262.8
75,255.6
76,234.0
77,244.8
78,219.6
79,237.6
80,201.6
81,230.4
82,223.2
83,244.8
84,248.4
85,237.6
86,241.2
87,241.2
88,259.2
89,248.4
90,266.4
91,266.4
92,244.8
93,237.6
94,219.6
95,205.2
96,183.6
97,165.6
98,136.8
99,144.0
100,126.0
101,129.6
102,115.2
103,118.8
104,122.4
105,136.8
106,151.2
107,154.8
108,172.8
109,190.8
110,223.2
111,219.6
112,223.2
113,252.0
114,248.4
115,284.4
116,273.6
117,284.4
118,266.4
119,288.0
120,288.0
121,270.0
122,216.0
123,266.4
124,244.8
125,226.8
126,219.6
127,226.8
128,237.6
129,223.2
130,226.8
131,244.8
132,223.2
133,259.2
134,234.0
135,262.8
136,270.0
137,266.4
138,226.8
139,241.2
140,252.0
141,223.2
142,219.6
143,201.6
144,201.6
145,162.0
146,151.2
147,144.0
148,126.0
149,115.2
150,111.6
151,111.6
152,118.8
153,136.8
154,140.4
155,147.6
156,162.0
157,201.6
158,219.6
159,237.6
160,248.4
161,244.8
162,280.8
163,280.8
164,298.8
165,273.6
166,259.2
167,280.8
168,259.2
169,244.8
170,248.4
171,241.2
172,241.2
173,226.8
174,208.8
175,226.8
176,219.6
177,237.6
178,212.4
179,237.6
180,259.2
181,241.2
182,244.8
183,237.6
184,248.4
185,237.6
186,262.8
187,248.4
188,241.2
189,237.6
190,216.0
191,223.2
192,187.2
193,180.0
194,147.6
195,144.0
196,133.2
197,108.0
198,111.6
199,111.6
200,115.2
201,136.8
202,147.6
203,172.8
204,190.8
205,205.2
206,223.2
207,284.4
208,266.4
209,313.2
210,327.6
211,309.6
212,313.2
213,342.0
214,334.8
215,313.2
216,291.6
217,313.2
218,270.0
219,248.4
220,237.6
221,237.6
222,230.4
223,234.0
224,248.4
225,234.0
226,234.0
227,226.8
228,248.4
229,252.0
230,259.2
231,237.6
232,255.6
233,255.6
234,248.4
235,244.8
236,234.0
237,201.6
238,216.0
239,201.6
240,205.2
241,172.8
242,176.4
243,154.8
244,144.0
245,144.0
246,122.4
247,122.4
248,122.4
249,133.2
250,133.2
251,133.2
252,151.2
253,172.8
254,176.4
255,205.2
256,208.8
257,219.6
258,248.4
259,237.6
260,259.2
261,255.6
262,273.6
263,255.6
264,280.8
265,262.8
266,259.2
267,252.0
268,270.0
269,241.2
270,255.6
271,244.8
272,237.6
273,255.6
274,205.2
275,248.4
276,237.6
277,262.8
278,255.6
279,237.6
280,241.2
281,241.2
282,216.0
283,216.0
284,201.6
285,190.8
286,187.2
287,194.4
288,176.4
289,169.2
290,165.6
291,151.2
292,129.6
293,144.0
294,129.6
295,136.8
296,122.4
297,126.0
298,129.6
299,136.8
300,151.2
301,140.4
302,154.8
303,158.4
304,165.6
305,201.6
306,208.8
307,208.8
308,219.6
309,248.4
310,262.8
311,266.4
312,270.0
313,230.4
314,241.2
315,262.8
316,234.0
317,244.8
318,237.6
319,201.6
320,223.2
321,190.8
322,223.2
323,237.6
324,230.4
325,223.2
326,230.4
327,234.0
328,234.0
329,244.8
330,241.2
331,234.0
332,230.4
333,201.6
334,205.2
335,187.2
336,180.0
337,172.8
338,147.6
339,136.8
340,133.2
341,118.8
342,111.6
343,118.8
344,118.8
345,126.0
346,136.8
347,154.8
348,162.0
349,194.4
350,208.8
351,237.6
352,234.0
353,259.2
354,266.4
