Index,Value
1,644.4
2,547.2
3,486.0
4,435.6
5,406.8
6,381.6
7,396.0
8,424.8
9,457.2
10,536.4
11,608.4
12,702.0
13,792.0
14,885.6
15,997.2
16,1137.6
17,1152.0
18,1252.8
19,1292.4
20,1353.6
21,1425.6
22,1378.8
23,1310.4
24,1296.0
25,1256.4
26,1198.8
27,1152.0
28,1080.0
29,1051.2
30,982.8
31,946.8
32,950.4
33,932.4
34,957.6
35,972.0
36,1000.8
37,1076.4
38,1087.2
39,1105.2
40,1159.2
41,1105.2
42,1162.8
43,1105.2
44,1083.6
45,1022.4
46,943.2
47,853.2
48,752.4
49,691.2
50,590.4
51,522.0
52,464.4
53,410.4
54,403.2
55,399.6
56,410.4
57,468.0
58,540.0
59,586.8
60,691.2
61,784.8
62,885.6
63,993.6
64,1044.0
65,1123.2
66,1216.8
67,1281.6
68,1288.8
69,1288.8
70,1310.4
71,1252.8
72,1245.6
73,1184.4
74,1148.4
75,1108.8
76,1062.0
77,1029.6
78,979.2
79,964.8
80,968.4
81,961.2
82,1004.4
83,1022.4
84,1054.8
85,1083.6
86,1123.2
87,1144.8
88,1180.8
89,1198.8
90,1152.0
91,1148.4
92,1072.8
93,1033.2
94,939.6
95,867.6
96,741.6
97,651.6
98,579.6
99,511.2
100,450.0
101,406.8
102,396.0
103,406.8
104,424.8
105,496.8
106,561.6
107,640.8
108,730.8
109,828.0
110,943.2
111,997.2
112,1090.8
113,1144.8
114,1202.4
115,1270.8
116,1267.2
117,1270.8
118,1278.0
119,1288.8
120,1317.6
121,1213.2
122,1180.8
123,1155.6
124,1130.4
125,1080.0
126,1040.4
127,1000.8
128,1022.4
129,1047.6
130,1047.6
131,1062.0
132,1069.2
133,1072.8
134,1112.4
135,1141.2
136,1188.0
137,1184.4
138,1098.0
139,1116.0
140,1047.6
141,990.0
142,932.4
143,842.4
144,766.8
145,666.0
146,590.4
147,518.4
148,460.8
149,417.6
150,396.0
151,399.6
152,432.0
153,475.2
154,543.6
155,644.4
156,730.8
157,824.4
158,928.8
159,1022.4
160,1098.0
161,1209.6
162,1245.6
163,1238.4
164,1288.8
165,1267.2
166,1285.2
167,1245.6
168,1191.6
169,1166.4
170,1144.8
171,1072.8
172,1076.4
173,1044.0
174,1008.0
175,1011.6
176,997.2
177,1004.4
178,1033.2
179,1083.6
180,1069.2
181,1105.2
182,1108.8
183,1148.4
184,1137.6
185,1162.8
186,1116.0
187,1105.2
188,1062.0
189,1036.8
190,961.2
191,867.6
192,795.6
193,691.2
194,594.0
195,529.2
196,464.4
197,442.8
198,417.6
199,421.2
200,471.6
201,518.4
202,601.2
203,705.6
