Index,Value
1,69.887
2,69.909
3,69.93
4,69.938
5,69.948
6,69.951
7,69.951
8,69.945
9,69.936
10,69.917
11,69.895
12,69.863
13,69.835
14,69.796
15,69.745
16,69.699
17,69.666
18,69.615
19,69.572
20,69.561
21,69.528
22,69.545
23,69.571
24,69.575
25,69.611
26,69.635
27,69.658
28,69.693
29,69.732
30,69.748
31,69.765
32,69.762
33,69.772
34,69.766
35,69.758
36,69.744
37,69.731
38,69.71
39,69.69
40,69.681
41,69.682
42,69.678
43,69.692
44,69.714
45,69.744
46,69.772
47,69.813
48,69.846
49,69.871
50,69.902
51,69.92
52,69.933
53,69.946
54,69.948
55,69.948
56,69.944
57,69.933
58,69.917
59,69.896
60,69.866
61,69.834
62,69.795
63,69.75
64,69.715
65,69.683
66,69.643
67,69.597
68,69.598
69,69.585
70,69.584
71,69.599
72,69.623
73,69.627
74,69.663
75,69.685
76,69.704
77,69.738
78,69.74
79,69.747
80,69.755
81,69.754
82,69.741
83,69.728
84,69.714
85,69.702
86,69.682
87,69.681
88,69.653
89,69.654
90,69.668
91,69.684
92,69.707
93,69.74
94,69.769
95,69.811
96,69.843
97,69.877
98,69.909
99,69.924
100,69.937
101,69.945
102,69.95
103,69.948
104,69.94
105,69.925
106,69.908
107,69.886
108,69.855
109,69.817
110,69.778
111,69.748
112,69.702
113,69.661
114,69.638
115,69.601
116,69.589
117,69.597
118,69.589
119,69.586
120,69.602
121,69.627
122,69.655
123,69.655
124,69.676
125,69.709
126,69.709
127,69.728
128,69.727
129,69.73
130,69.728
131,69.71
132,69.71
133,69.699
134,69.693
135,69.68
136,69.663
137,69.669
138,69.695
139,69.699
140,69.72
141,69.75
142,69.769
143,69.81
144,69.842
145,69.873
146,69.9
147,69.918
148,69.936
149,69.943
150,69.948
151,69.948
152,69.941
153,69.926
154,69.911
155,69.885
156,69.848
157,69.811
158,69.774
159,69.727
160,69.686
161,69.653
162,69.611
163,69.618
164,69.59
165,69.592
166,69.607
167,69.619
168,69.642
169,69.652
170,69.675
171,69.701
172,69.707
173,69.725
174,69.729
175,69.742
176,69.748
177,69.74
178,69.724
179,69.702
180,69.709
181,69.693
182,69.696
183,69.67
184,69.67
185,69.674
186,69.683
187,69.695
188,69.721
189,69.745
190,69.768
191,69.805
192,69.834
193,69.867
194,69.893
195,69.914
196,69.93
197,69.941
198,69.943
199,69.942
200,69.933
201,69.92
202,69.893
203,69.867
204,69.825
205,69.771
206,69.706
207,69.658
208,69.612
209,69.542
210,69.506
211,69.48
212,69.489
213,69.484
214,69.479
215,69.501
216,69.539
217,69.568
218,69.62
219,69.633
220,69.657
221,69.664
222,69.693
223,69.704
224,69.704
225,69.703
226,69.703
227,69.697
228,69.687
229,69.687
230,69.669
231,69.686
232,69.683
233,69.694
234,69.698
235,69.716
236,69.735
237,69.756
238,69.776
239,69.802
240,69.831
241,69.848
242,69.875
243,69.894
244,69.908
245,69.923
246,69.932
247,69.938
248,69.939
249,69.936
250,69.926
251,69.913
252,69.893
253,69.872
254,69.841
255,69.806
256,69.772
257,69.738
258,69.697
259,69.683
260,69.638
261,69.633
262,69.618
263,69.63
264,69.631
265,69.637
266,69.658
267,69.672
268,69.666
269,69.686
270,69.684
271,69.701
272,69.694
273,69.684
274,69.704
275,69.699
276,69.69
277,69.695
278,69.695
279,69.703
280,69.714
281,69.718
282,69.748
283,69.766
284,69.785
285,69.808
286,69.823
287,69.842
288,69.865
289,69.879
290,69.892
291,69.907
292,69.918
293,69.925
294,69.934
295,69.935
296,69.938
297,69.939
298,69.937
299,69.929
300,69.92
301,69.907
302,69.89
303,69.867
304,69.843
305,69.815
306,69.788
307,69.759
308,69.724
309,69.696
310,69.679
311,69.677
312,69.665
313,69.682
314,69.689
315,69.695
316,69.714
317,69.723
318,69.734
319,69.741
320,69.755
321,69.753
322,69.756
323,69.742
324,69.738
325,69.73
326,69.715
327,69.72
328,69.706
329,69.701
330,69.713
331,69.739
332,69.749
333,69.781
334,69.81
335,69.833
336,69.86
337,69.885
338,69.905
339,69.926
340,69.937
341,69.947
342,69.949
343,69.95
344,69.944
345,69.933
346,69.917
347,69.891
348,69.865
349,69.825
350,69.794
351,69.737
352,69.693
353,69.651
354,69.615
355,69.575
356,69.547
357,69.532
358,69.54
359,69.542
360,69.574
361,69.601
362,69.629
363,69.674
364,69.688
365,69.714
366,69.745
367,69.756
368,69.768
369,69.774
370,69.769
371,69.757
372,69.743
373,69.723
374,69.704
375,69.671
376,69.663
377,69.663
378,69.675
379,69.68
380,69.707
381,69.735
382,69.772
383,69.806
384,69.839
385,69.871
386,69.895
387,69.918
388,69.933
389,69.942
390,69.947
391,69.946
392,69.939
393,69.93
394,69.914
395,69.893
396,69.86
397,69.833
398,69.777
399,69.752
400,69.699
401,69.661
402,69.635
403,69.611
404,69.58
405,69.585
406,69.579
407,69.594
408,69.602
409,69.625
410,69.65
411,69.685
412,69.701
413,69.714
414,69.73
415,69.75
416,69.755
417,69.75
418,69.739
419,69.727
420,69.704
421,69.697
422,69.669
423,69.647
424,69.656
425,69.657
426,69.653
427,69.677
428,69.689
429,69.732
430,69.766
431,69.806
432,69.841
433,69.872
434,69.898
435,69.923
436,69.936
437,69.946
438,69.949
439,69.945
440,69.938
441,69.923
442,69.904
443,69.879
444,69.85
445,69.814
446,69.771
447,69.735
448,69.691
449,69.648
450,69.627
451,69.592
452,69.584
453,69.578
454,69.582
455,69.582
456,69.596
457,69.607
458,69.628
459,69.657
460,69.677
461,69.691
462,69.713
463,69.709
464,69.71
465,69.715
466,69.718
467,69.712
468,69.718
469,69.687
470,69.677
471,69.67
472,69.667
473,69.662
474,69.676
475,69.684
476,69.713
477,69.739
478,69.763
479,69.801
480,69.833
481,69.867
482,69.894
483,69.916
484,69.935
485,69.943
486,69.947
487,69.946
488,69.939
489,69.925
490,69.908
491,69.88
492,69.847
493,69.812
494,69.768
495,69.716
496,69.689
497,69.634
498,69.612
499,69.601
500,69.58
501,69.576
502,69.6
503,69.624
504,69.609
505,69.652
506,69.661
507,69.691
508,69.703
509,69.715
510,69.725
511,69.724
512,69.737
513,69.726
514,69.719
515,69.707
516,69.708
517,69.687
518,69.671
519,69.664
520,69.667
521,69.644
522,69.676
523,69.686
524,69.706
525,69.729
526,69.759
527,69.787
528,69.829
529,69.854
530,69.889
531,69.909
532,69.927
533,69.938
534,69.942
535,69.941
536,69.932
537,69.915
538,69.897
539,69.862
540,69.811
541,69.769
542,69.703
543,69.641
544,69.593
545,69.538
546,69.504
547,69.486
548,69.448
549,69.478
550,69.476
551,69.507
552,69.526
553,69.577
554,69.598
555,69.616
556,69.651
557,69.678
558,69.681
559,69.697
560,69.701
561,69.702
562,69.696
563,69.692
564,69.677
565,69.664
566,69.67
567,69.678
568,69.67
569,69.687
570,69.702
571,69.706
572,69.73
573,69.748
574,69.773
575,69.794
576,69.825
577,69.849
578,69.869
579,69.895
580,69.911
581,69.921
582,69.932
583,69.935
584,69.935
585,69.931
586,69.924
587,69.911
588,69.89
589,69.867
590,69.837
591,69.793
592,69.761
593,69.73
594,69.684
595,69.666
596,69.63
